#{"t_start": 1770202582.7196672, "env_id": "None"}
r,l,t
-272.37704,300,127.989658
-503.28845,300,128.001238
-425.18576,300,128.007
-470.5148,300,128.045341
-308.09494,300,128.069658
-473.6469,300,128.132284
-662.88995,300,128.141292
-385.44443,300,128.152166
-700.60425,300,128.175193
-392.5508,300,128.175261
-363.38788,300,128.188468
-348.0184,300,128.191707
-167.22017,300,128.191738
-282.35968,300,128.252696
-347.66855,300,128.27809
-225.62326,300,128.292135
-459.54742,300,128.296282
-788.33435,300,128.309022
-248.24893,300,128.315017
-522.46594,300,128.353206
-129.25623,180,128.363113
-557.4986,300,128.377527
-121.91606,300,128.443033
-223.36679,300,128.451481
-636.4763,300,128.461947
-208.46768,300,128.484839
-261.32346,300,128.500112
-394.33405,300,128.50333
-254.03613,300,128.503369
-230.69879,300,128.574516
-1075.2975,300,128.603069
-590.3511,300,128.618435
-382.5848,300,128.622856
-154.04236,300,128.637443
-157.41031,300,128.644406
-446.44647,300,128.689009
-1218.5614,300,128.701071
-550.42,300,128.717198
-925.45624,300,128.790682
-361.69165,300,128.800255
-327.21686,300,128.810505
-621.07513,300,143.146621
-689.684,300,143.168828
-366.21255,300,143.174842
-126.582275,300,143.174899
-223.66153,300,143.256687
-75.197784,300,143.287345
-382.45654,300,143.308143
-351.1384,300,143.315412
-753.4428,300,143.328552
-632.34717,300,143.334719
-473.50192,300,143.371586
-185.38264,300,143.382598
-55.88626,300,143.397754
-358.24118,300,143.459632
-280.95337,300,143.467927
-332.93182,300,143.477198
-419.9119,300,143.49741
-562.53485,300,143.509418
-111.13082,300,143.512415
-289.97894,300,143.512444
-338.2794,300,143.565144
-396.73587,300,143.587877
-341.94904,300,143.601295
-334.35065,300,143.605427
-60.064148,300,143.616338
-371.10492,300,143.621845
-159.65349,201,143.658593
-367.91678,300,143.659578
4.1948023,103,143.664187
-78.16521,300,143.668768
-769.2552,300,143.682203
-32.400665,109,143.69296
-239.92181,300,143.744395
-102.332886,300,143.763718
-111.299194,181,143.778451
-444.02042,300,143.787563
-410.20563,300,143.800961
-1076.6333,300,143.80434
-372.01593,300,143.80438
-37.884247,300,143.901801
-464.57285,300,143.914005
-392.0188,300,143.92043
-275.7957,300,143.9583
-70.51122,300,143.959458
-133.76665,300,143.964608
-382.29004,300,143.96987
-314.4395,300,143.983838
-372.88263,300,143.995208
-335.2023,300,144.057875
-358.5585,300,144.080419
-356.88333,300,144.096013
-1102.8317,300,144.108856
-154.16411,300,144.126209
-91.03305,300,144.130431
-49.278263,300,144.130462
-531.1217,300,144.230552
-766.2617,300,144.243447
-365.3273,300,144.249634
-458.24246,287,144.283521
-205.84303,300,144.286387
-399.91324,300,144.287932
-158.63829,300,144.293271
-248.00313,300,144.315248
-338.09637,300,144.326336
-251.48256,300,144.376021
-641.02563,300,144.39351
-726.7761,300,144.405535
-345.51974,300,144.414701
-488.85022,300,144.42881
-565.0597,300,144.434496
-324.82846,300,144.434558
-352.79373,300,144.531863
-187.26097,300,144.544702
-584.1541,300,144.550203
-909.6735,300,144.587575
-818.1186,300,144.589493
-936.4692,300,144.590557
-443.88986,300,144.595115
-317.55762,300,144.615009
-555.664,300,144.624923
-351.67587,300,144.674226
-412.22952,300,144.692928
-1181.9773,300,144.704864
-333.08658,300,144.713384
-176.80492,300,144.726837
-1025.4579,300,144.72965
-312.10947,300,144.729683
-35.19911,238,144.816188
-360.09442,300,144.822653
-229.29729,300,144.834957
-50.78119,300,144.84255
-387.01816,300,144.878571
-95.966705,300,144.881792
-176.30966,300,144.886318
-874.81604,300,144.904151
-384.9411,300,144.914201
-86.80273,300,144.970828
-207.52376,300,144.991357
-446.49887,300,145.006133
-491.40802,300,145.015727
-1050.742,300,145.028775
-601.8153,300,145.032017
-196.84137,300,145.032049
-172.58307,300,145.124669
-370.99915,300,145.132086
-418.94644,300,145.146444
-206.55122,300,145.152759
-274.29486,300,145.187948
-60.302643,300,145.191189
-311.30798,300,145.196085
-53.6818,300,145.214008
-331.40726,300,145.226559
-283.38394,300,159.442628
-333.8969,300,159.476191
-424.90036,300,159.492469
-356.00714,300,159.504794
-91.807205,300,159.523192
-529.4024,300,159.528056
-193.11958,300,159.528132
-274.65952,300,159.644404
-403.97717,300,159.652182
-786.31396,300,159.665885
